SpecialGuest,TagId,Request
2002,8,直接把佐酒的菜端上来吧！
2002,19,试试小麻雀家的招牌菜吧~
2002,5,如今的地上是怎么流传鬼的传说？
2002,12,不觉得和风和这个街道很配么~
2002,23,没有力量的鬼只会被踩在脚下。
2002,35,让我的血液沸腾起来吧！
2003,3,家常美味，也是人生百味。
2003,28,吃太饱不利于思考。
2003,17,生活需要加点甜。
2003,29,极致的美食宛如真实的梦幻。
2003,30,食物能够缩短他乡与故乡的距离。
2003,23,希望这一顿可以给我带来继续工作的力量。
2004,16,腐烂后会滋生大量细菌，还是新鲜的好。
2004,17,甜食是最简单最初始的美食体验~
2004,1,咱就是爱吃鱼才这么聪明呐。
2004,11,地底和海底其实是相通的吧？
2004,24,有时候一些奇怪的东西更能让猫咪兴奋！
2004,29,真想再去一次梦境里的童话公园。
2005,0,肉是力量的源泉，失去它生命就会枯竭。
2005,34,火辣辣的感觉会让人心痒痒不是吗？
2005,15,阿空盐分补充程序——启动！
2005,6,加入多少油，火焰的燃烧就有多猛烈！
2005,22,就算比火焰还要炽热我也毫不畏惧！
2005,23,我一直在感受体内的力量不断涌现。
2006,17,我有两个胃，一个吃饭一个吃甜点！
2006,15,有一种兴奋剂是咸味的哦！好像叫做汗水来着。
2006,18,生吃还有什么讲究吗？
2006,24,带着猎奇的心态去看待世界会更有趣哦~
2006,29,梦幻就是永恒的意思吗？
2006,27,你永远猜不到我想要的是什么啦~
2009,16,腐烂后会滋生大量细菌，还是新鲜的好。
2009,17,甜食是最简单最初始的美食体验~
2009,1,咱就是爱吃鱼才这么聪明呐。
2009,11,地底和海底其实是相通的吧？
2009,24,有时候一些奇怪的东西更能让猫咪兴奋！
2009,29,真想再去一次梦境里的童话公园。
3000,17,甜食可以促进人际交往哦！
3000,24,能让人吓一跳的食物不是很有趣吗？
3000,3,一家人围在一起吃饭的感觉很温馨。
3000,9,吓不到人肚子总是空空的……
3000,27,不可思议也是一种惊讶的情绪哦。
3000,23,我需要更多的力量去吓唬人类！
3000,20,好看的食物应该也会很好吃吧？
3001,9,不吃饱连船舵都转不动。
3001,15,海水的味道和眼泪的味道都是咸的呢。
3001,23,间歇泉喷发时涌出的的那种力量感真是太带劲了。
3001,0,三净肉的话还是可以吃的。
3001,30,正是人们的迁徙才促成了食物的相逢。
3001,4,混到船长的地位就算开小灶吃高级料理也不过分吧？
3001,16,食物的保质期不能超过一个小时。
3002,24,其实人类才是最喜欢猎奇的动物。 
3002,0,经文可以慢慢看，肉必须趁热吃。
3002,16,腐肉我过去已经吃得够多了。
3002,18,生食这种进食方式虽然原始但很方便呢。
3002,27,不可思议正是我的本质。
3002,19,就算是最拿手的招牌菜也要有点变化才好。
3002,30,每个地方都有各自独特的料理。
3002,20,人类只要目睹到我的存在都会拍个不停。
3003,12,吾之时代的风格还能延续至今真乃幸事一桩。
3003,35,既不能置身火海，是否能让内心燃烧起来？
3003,5,吾所仰慕的太子大人是留下了许多传说的圣人。
3003,7,在吾之时代，贵族饮食皆以清淡为主。
3003,10,道家荤食原料多用山珍野味，调料则惯用药料。
3003,4,嗜好高级品或许是身为豪族时留下的习惯……
3004,17,每一道甜品都有一个故事哟~
3004,2,仙人要是满嘴荤腥就太难看了。
3004,28,宵夜的份量宜少不宜多。
3004,14,我的家乡是个遍地都是道士仙人的地方。
3004,27,不可思议的人生才有趣~
3004,5,人类的传说中也记录着我的故事呢。
3004,30,小小的店就能吃遍各地美食真是太方便了。
3005,12,偶尔也品尝一下过去吃过的东西吧。
3005,9,脑子装不下的东西，就用肚子来装。
3005,23,降雷的时候能感到力量一下子从身体里涌现出来。
3005,6,成为亡灵以后什么重油的不健康的通通都能吃诶~
3005,33,我想试试那种像被雷劈过一样的食物。
3005,3,孤独守护的千年间 ，最怀念的却是家常。
3005,19,从招牌菜就能看出一家店的风格。
3009,0,不吃肉怎么可能变得强大？
3009,12,老朽还是喜欢佐渡老家的味道呐~
3009,1,狸猫虽然不是猫，但也很爱吃鱼。
3009,3,在佐渡和人类共同生活的日常也很让人怀念呐。
3009,8,下酒的菜还没准备好吗——？
3009,31,人类就喜欢看狸猫吃果子的样子。
3009,5,狸猫的传说要多少有多少，不是吗？
4000,0,天狗的首选果然得是肉呢。
4000,12,天狗是和风妖怪中很强悍的一支哦。
4000,19,招牌是经过大众检验的广告。
4000,3,这里生意这么好皆因有家的味道~
4000,8,有酒无菜偶尔也会觉得少点滋味~
4000,20,有没有值得入我相机的菜呢~
4001,17,毒最基础的味道是甜哦。
4001,29,人类会为了追求奇妙的体验而故意中毒。
4001,26,一提到毒第一时间就会想起森林里疯长的那些吧。
4001,20,铃铃说漂亮的菜和我一样都很适合拍照。
4001,19,我不太懂，能给我推荐一些招牌菜吗？
4001,21,人偶是不能受热的。
4001,28,像铃铃一样小小的不是很可爱吗？
4001,4001,毒药是最上乘的调味品。
4002,7,不要用沾染油腻的手去触碰花儿。
4002,4,花儿的语言比人类更含蓄，也更高级。
4002,29,蓝色满天星的花语是——
4002,5,每个花语都有一个流传至今的过去。
4002,30,无法离开出生地的花儿最终会成为当地的特色。
4002,13,我挺喜欢那种追崇绅士风度的社会风尚。
4002,27,冬紫罗兰的花语是——。
4003,24,我钟意那些受人厌恶的怪诞之物！
4003,8,苦酒入喉心作痛，配点小菜吃一吃。
4003,6,把那些脑满肠肥的欺压者煎一煎的话会出很多油吧。
4003,22,看着滋滋冒气的东西会让我心情大好。
4003,35,一想到弱者颠覆强者的未来我就澎湃不已！
4003,27,你们怎么形容根本不可能实现的事物？
4003,23,为了达成我的伟业，我需要更多力量！
4004,17,甜品的力量是治愈的力量。
4004,12,小人的祖先是日本神话中少彦名神的后裔。
4004,5,我喜欢听那些充满勇气的伟大故事。
4004,28,看我的样子就知道我的食量了。
4004,25,这是一座充满底蕴却无人知晓的城……
4004,20,我想要很漂亮能跟别人分享的菜式！
4004,35,勇者的身份真是让人热血沸腾！
4005,0,毕竟人家是狼嘛……
4005,12,本州狼自然喜欢本州风格的食谱哦。
4005,10,比起水里游的我更喜欢山上跑的。
4005,3,我也很喜欢有家庭气氛的小菜哦。
4005,21,毛发增长的时候就很需要从胃里降温……
4005,20,漂亮的食物当然是先给相机吃！
4008,13,这里也能做出异国风味的料理吗？
4008,4,只有高级的料理才配得上我的身份。
4008,18,吸血鬼……当然是要吃生的。
4008,17,在过去，糖可是贵族的专属消费品呢。
4008,5,吸血鬼留下的传说百年无人敢忘。
5000,30,想尝尝那些我无法抵达的地方的美食……
5000,28,兔子的胃是很小的。
5000,3,家的味道可以治愈一天的疲惫。
5000,11,静海要是不那么死气沉沉就好了。
5000,14,月兔也是仙子，这是什么地方的传说呀？
5000,10,月之都如果有山，会有什么动物吗？
5000,17,糖分是唯一的救赎。
5001,17,我就算吃再多糖也不会蛀牙哟。
5001,4,高级精致的品相更容易提起人的兴趣呢。
5001,12,最近有点喜欢上和歌了。
5001,2,听说吃草能够帮助消化？
5001,21,好热……可惜不能用这把扇子来扇风……
5001,31,桃子就是最棒的哦！
5001,25,我喜欢听料理里的故事。
5002,4,月之民不食糟糠。
5002,14,我对中华武术有点兴趣。
5002,28,锻炼不宜吃太多。
5002,7,淡以养生。
5002,5,我想留下令后人传颂的功绩。
5002,22,永远不要让血液冷下来。
5002,25,一招一式皆是文化的传承。
5002,23,我需要更多更多的力量。
5003,9,请准备让我和苏格拉底都能吃饱的量哦～
5003,13,魔界在西方传说中是恶魔的聚集地？
5003,17,甜食可以让人获得力量哦！
5003,3,老板娘的店有着家一样的温馨。
5003,29,童话就是梦幻哦。
5003,21,苏格拉底很怕烫呢，毕竟是猫舌头嘛。
5004,24,猎奇带来了有用的经验。
5004,16,陈腐的东西当然不能入口。
5004,10,山珍是大自然的宝藏。
5004,18,最原始的味道就是最好的味道。
5004,1,鱼类脂肪很低又富含营养，非常健康。
5004,26,蘑菇是变化万千、又难以理解的生物，十分有趣。
5004,23,有点累了，有什么可以激活身体和思维的料理吗？
5005,30,旅行的乐趣之一就是吃到各种各样的美食。
5005,17,心情烦闷的时候音乐与甜品最治愈。
5005,13,下次旅行就到西方去吧。
5005,28,晚上不适宜吃得太饱。
5005,1,水产食物是优质蛋白质的重要来源之一。
5005,20,我想要适合发博客的料理。
5012,4,高级感是一种能让人感到极富品质感的体验。
5012,3,家就是能让你睡个好觉的地方。
5012,5,“传说”催生了妖怪。
5012,32,听说过“汤水养人”吗？
5012,24,我的隙间哪里猎奇了哟～
5012,21,呆在伞下很凉快哦～
5012,20,食之品相也十分重要。
9000,7,那些我最爱的东西——水和风都是没有味道的。
9000,17,甜味是这个世界上最本质、最美好的味道。
9000,21,我最喜欢湖面微凉的清风流过的感觉了。
9000,28,整个世界的话，大概…只会比雾之湖大一点吧？
9000,31,我们妖精偶尔会去湖畔果树林摘点果子吃。
9001,0,纯种恶魔自然是要吃肉的！
9001,5,高贵的，强大的恶魔血统自然需要最珍贵的料理！
9001,8,带劲的酒精可以触动恶魔的内心…不过需要一道好菜配合。
9001,13,帕秋莉她最喜欢的味道就是这种外国风味…这次让本姑娘也试试。
9001,17,书上说糖分可以快速补充因施法损耗的体力…才不是嘴馋呢。
9001,33,图书馆严禁烟火，好不容易有了机会，本姑娘可得尝尝烧烤的滋味。
9001,34,带点辣味的东西才能刺激本姑娘的味蕾！
9002,18,没有做熟的食物和血散发着同一种味道呢。
9002,19,世界肯定比我的房间大的多了！有什么有趣的东西吗？
9002,20,外面的世界好美……好想多记住一些。
9002,22,姐姐从来不让我见到热辣辣的太阳，真好奇，好好奇呀。
9002,24,可爱的玩偶总会玩腻的……想来点不一样的……
9002,27,有什么东西能比带着魔法的女仆长更神奇吗？
9002,34,辣味是一种痛觉哦，喜欢！
9003,3,如果拒绝接触家常些的东西的话，生命就会与现实疏离开来。
9003,5,传说中的那些故事，在遥远的过去可能真实存在过。
9003,25,即使拥有无限的生命，人的阅历也短于文明的尺度。
9003,29,蝴蝶梦，梦蝴蝶……梦幻如现实，现实如梦幻。
9003,30,穷尽天文的脑力，也不可能明晰整个世界的变数。在某个角落，总会藏着独特的惊喜。
9003,4001,微毒的食物很多可以入药，人们总是忘记这一点。
9004,3,平时梦子酱准备的料理都充满了家乡的味道呢
9004,4,本魔神的用餐当然要高级感满满！
9004,5,传说，曾有一位外界的高僧被封印在魔界……
9004,13,爱丽丝，露易兹……我引以为傲的作品们都充满了西方色彩呢。
9004,17,我的发圈看上去像樱桃一样甜，可惜不能吃
9004,27,我所在的魔界也被称作不可思议之国哦！
9004,29,甜美梦幻的童话世界，说的就是魔界呢
10000,17,甜美的味道，能让人忘却忧伤。
10000,21,像秋天一样凉爽的食物，也是一个不错的选择呢。
10000,23,制造落叶可是很辛苦的……才不是因为踹不动树呢。
10000,25,自古逢秋悲寂寥……
10001,3,家常菜也是很美味的。
10001,9,食物的存在，就是为了能够让人们填饱肚子啊。
10001,17,要是有能像烤红薯一样甜美的食物就好了。
10001,33,用火烤制出来的食物，一般都不会难吃吧。
10002,4,八云家吃的东西多少是要高级一些的。
10002,5,狐妖在这片土地上可是创造了许多传说的。
10002,6,油炸豆腐虽然很好吃，但是偶尔也想吃点别的炸货。
10002,10,水会弄湿衣服和尾巴，还是山比较让人喜欢。
10002,12,狐狸可是和风的重要组成部分哦。
10002,23,侍奉紫大人真是累人呀……
10002,27,我的智慧，连三途川的长度都能计算出来。是不是很不可思议？
11000,0,我还在长身体哦！神绮大人说过，多吃牛肉才能有力气！
11000,9,只有吃得饱饱的，才有力气继续收集食材！
11000,16,我还在长身体哦！神绮大人说过，多喝鲜牛奶才能变聪明！
11000,17,芝士蛋糕、马卡龙、提拉米苏……有好多好多我想吃的甜点！
11000,22,神绮大人说过，吃饭要趁热全部吃完！
11000,31,蜜瓜芭菲、草莓慕斯、苹果派……这些我爱吃的糕点之间有什么共同点呢？
11000,34,作为见习火系魔法使，忍耐辛辣的食物也是修行的一部分！
11001,2,我喜欢吃蔬菜，就像鸽子都喜欢吃玉米一样……只是举个例子而已！我又不是鸽子！
11001,7,多吃重油辛辣的烧烤料理会变成笨蛋，因此我一般都吃清淡的料理。
11001,13,神绮大人的料理水平虽然让人不敢恭维，但制作的西式糕点都非常美味呢。
11001,21,作为修行中的冰系魔法使，靠近我就会感受到刺骨的寒冷哦。
11001,28,吃饭只需要三分饱就足够了……才不是害怕长胖什么的。
11001,32,自从不小心品鉴了雪推荐的油炸薯条之后，我就产生心理阴影了……再也不敢尝试浓汤以外的料理了。雪那家伙一点都不懂我呢。
