Name,FieldName
炸番茄条,RDFoodItems.FRIED_TOMATO_STRIPS
惊吓！大冒险,RDFoodItems.FRIGHT_ADVENTURE
野味加农,RDFoodItems.GAME_SOUP
幻想佛跳墙,RDFoodItems.GENSOKYO_BUDDHA_JUMPS_OVER_THE_WALL
幻想星莲船,RDFoodItems.GENSOKYO_STAR_LOTUS_SHIP
巨人玉子烧,RDFoodItems.GIANT_TAMAGOYAKI
白果萝卜排骨汤,RDFoodItems.GINKGO_AND_RADISH_PORK_RIB_SOUP
阴郁水果派,RDFoodItems.GLOOMY_FRUIT_PIE
汤圆,RDFoodItems.GLUTINOUS_RICE_BALLS
黄金酥鱼饼,RDFoodItems.GOLDEN_CRISPY_FISH_CAKE
大奢宴,RDFoodItems.GRAND_BANQUET
翠竹迎春,RDFoodItems.GREEN_BAMBOO_WELCOMES_SPRING
绿野仙菇,RDFoodItems.GREEN_FAIRY_MUSHROOM
烤八目鳗,RDFoodItems.GRILLED_HAGFISH
炙猪肉饭团,RDFoodItems.GRILLED_PORK_RICE_BALLS
养心粥,RDFoodItems.HEART_PORRIDGE_GRUEL
地狱激辛警告！,RDFoodItems.HELL_THRILL_WARNING
圣白莲子糕,RDFoodItems.HOLY_WHITE_LOTUS_SEED_CAKE
蜜汁叉烧,RDFoodItems.HONEY_BBQ_PORK
蓬莱玉枝,RDFoodItems.HORAI_DAMA_NO_EDA
热松饼,RDFoodItems.HOT_WAFFLES
胡辣汤,RDFoodItems.HULA_SOUP
狮子头,RDFoodItems.LION_HEAD
龙吟桃子,RDFoodItems.LONGYIN_PEACH
仰望天花板派,RDFoodItems.LOOKING_UP_AT_THE_CEILING_FRUIT_PIE
荷花鱼米盏,RDFoodItems.LOTUS_FISH_RICE_BOWL
罗汉上素,RDFoodItems.LUOHAN_VEGETARIAN
疯帽子茶会,RDFoodItems.MAD_HATTER_TEA_PARTY
岩浆,RDFoodItems.MAGMA
毛玉熔岩豆腐,RDFoodItems.MAOYU_LAVA_TOFU
毛玉三色冰激凌,RDFoodItems.MAOYU_TRICOLOR_ICE_CREAM
麻婆豆腐,RDFoodItems.MAPO_TOFU
奶香蘑菇汤,RDFoodItems.MILKY_MUSHROOM_SOUP
麻薯,RDFoodItems.MOCHI
分子蛋,RDFoodItems.MOLECULAR_EGG
月光团子,RDFoodItems.MOONLIGHT_DUMPLINGS
荷塘月色,RDFoodItems.MOONLIGHT_OVER_LOTUS_POND
月饼,RDFoodItems.MOON_CAKE
月之恋人,RDFoodItems.MOON_LOVERS
蘑女的舞踏烩,RDFoodItems.MUSHROOM_GIRLS_DANCE_STEW
蘑菇肉片,RDFoodItems.MUSHROOM_MEAT_SLICES
手握寿司,RDFoodItems.NIGIRI_SUSHI
大江户船祭,RDFoodItems.OEDO_BOAT_FESTIVAL
大阪烧,RDFoodItems.OKONOMIYAKI
一击☆必杀,RDFoodItems.ONE_HIT_KILL
普通小蛋糕,RDFoodItems.ORDINARY_SMALL_CAKE
香煎双菇肉卷,RDFoodItems.PAN_FRIED_MUSHROOM_MEAT_ROLL
香煎三文鱼,RDFoodItems.PAN_FRIED_SALMON
桃花琉璃卷,RDFoodItems.PEACH_BLOSSOM_GLAZE_ROLL
桃花羹,RDFoodItems.PEACH_BLOSSOM_SOUP
不死鸟,RDFoodItems.PHOENIX
腌黄瓜,RDFoodItems.PICKLED_CUCUMBERS
猪鹿蝶,RDFoodItems.PIG_DEER_BUTTERFLY
松子糕,RDFoodItems.PINE_NUT_CAKE
海盗熏肉,RDFoodItems.PIRATE_BACON
梅子茶泡饭,RDFoodItems.PLUM_TEA_RICE
诗礼银杏,RDFoodItems.POETRY_AND_GINKGO
毒瘴花园,RDFoodItems.POISONOUS_GARDEN
猪肉鳟鱼熏,RDFoodItems.PORK_AND_TROUT_SMOKED
猪肉盖浇饭,RDFoodItems.PORK_RICE
土豆可乐饼,RDFoodItems.POTATO_CROQUETTES
拟尻子玉,RDFoodItems.PSEUDO_JIRITAMA
南瓜虾盅,RDFoodItems.PUMPKIN_SHRIMP_CAKE
长发公主,RDFoodItems.RAPUNZEL
真·海鲜味噌汤,RDFoodItems.REAL_SEAFOOD_MISO_SOUP
红豆大福,RDFoodItems.RED_BEAN_DAIFUKU
提神布丁,RDFoodItems.REFRESHING_PUDDING
逆转天地！,RDFoodItems.REVERSING_THE_WORLD
饭团,RDFoodItems.RICE_BALL
意式烩饭,RDFoodItems.RISOTTO
烤蘑菇,RDFoodItems.ROASTED_MUSHROOMS
樱花布丁,RDFoodItems.SAKURA_PUDDING
三文鱼天妇罗,RDFoodItems.SALMON_TEMPURA
刺身拼盘,RDFoodItems.SASHIMI_PLATTER
猩红恶魔蛋糕,RDFoodItems.SCARLET_DEVILS_CAKE
司康饼,RDFoodItems.SCONES
绝叫关东煮,RDFoodItems.SCREAMING_ODEN
海鲜味噌汤,RDFoodItems.SEAFOOD_MISO_SOUP
海胆信玄饼,RDFoodItems.SEA_URCHIN_SHINGEN_PANCAKE
海胆刺身,RDFoodItems.SEA_URCHIN_SASHIMI
秘制小鱼干,RDFoodItems.SECRET_DRIED_FISH
秘制鲜菌煲,RDFoodItems.SECRET_MUSHROOM_CASSEROLE
七色羊羹,RDFoodItems.SEVEN_COLORED_YOKAN
白鹿贞松,RDFoodItems.SHIRAGA_SADAMATSU
瘦马团子,RDFoodItems.SKINNY_HORSE_DUMPLING
白雪,RDFoodItems.SNOW_WHITE
海胆蒸蛋,RDFoodItems.STEAMED_EGG_WITH_SEA_URCHIN
臭豆腐,RDFoodItems.STINKY_TOFU
力量汤,RDFoodItems.STRENGTH_SOUP
至尊海鲜面,RDFoodItems.SUPERME_SEAFOOD_NOODLES
太极八卦鱼肚,RDFoodItems.TAICHI_BAGUA_FISH_MAW
竹取姬,RDFoodItems.TAKETORIHIME
章鱼烧,RDFoodItems.TAKOYAKI
汉宫藏娇,RDFoodItems.THE_BEAUTY_OF_HAN_PALACE
幽梦,RDFoodItems.THE_DREAM
火星,RDFoodItems.THE_MARS
生命之源,RDFoodItems.THE_SOURCE_OF_LIFE
天师板栗焖菇,RDFoodItems.TIANSHI_BRAISED_CHESTNUT_MUSHROOMS
豆腐味噌,RDFoodItems.TOFU_MISO
豆腐锅,RDFoodItems.TOFU_POT
豚骨拉面,RDFoodItems.TONKOTSU_RAMEN
香椿煎饼,RDFoodItems.TOON_PANCAKES
二天一流,RDFoodItems.TWO_HEAVENS_ONE_STYLE
幻昙花糕,RDFoodItems.UDUMBARA_CAKE
无意识妖怪慕斯,RDFoodItems.UNCONSCIOUS_MONSTER_MOUSSE
蔬菜专辑,RDFoodItems.VEGETABLE_SPECIAL
温暖饭团,RDFoodItems.WARM_RICE_BALL
白桃生八桥,RDFoodItems.WHITE_PEACH_EIGHT_BRIDGE
云山棉花糖,RDFoodItems.YUNSHAN_COTTON_CANDY
杂炊,RDFoodItems.ZHAJI
绿茶,RDBeverageItems.GREEN_TEA
果味High Ball,RDBeverageItems.FRUITY_HIGH_BALL
果味SOUR,RDBeverageItems.FRUITY_SOUR
淇,RDBeverageItems.QI
超ZUN啤酒,RDBeverageItems.BEER
日月星,RDBeverageItems.SUN_MOON_STAR
梅酒,RDBeverageItems.PLUM_WINE
天狗踊,RDBeverageItems.TENGU_DANCE
猩红恶魔,RDBeverageItems.SCARLET_DEVIL
神之麦,RDBeverageItems.GODS_WHEAT
水獭祭,RDBeverageItems.OTTER_FESTIVAL
晓,RDBeverageItems.DAWN
雀酒,RDBeverageItems.SPARROW_SAKE
红魔馆红茶,RDBeverageItems.SCARLET_DEVIL_MANSION_BLACK_TEA
阿芙加朵,RDBeverageItems.AFFGADO
红雾,RDBeverageItems.RED_MIST
尼格罗尼,RDBeverageItems.NEGRONI
教父,RDBeverageItems.GODFATHER
风祝,RDBeverageItems.BLESSING_WIND
冬酿,RDBeverageItems.WINTER_BREW
十四夜,RDBeverageItems.FOURTEENTH_NIGHT
火鼠裘,RDBeverageItems.FIRE_RAT_FUR
玉露茶,RDBeverageItems.GYOKURO_TEA
月面火箭,RDBeverageItems.MOON_ROCKET
牛奶,RDBeverageItems.MILK
红柚果汁,RDBeverageItems.RED_GRAPEFRUIT_JUICE
波子汽水,RDBeverageItems.SODA
冰山毛玉冻柠,RDBeverageItems.ICEBERG_MAPLE_FROZEN_LEMON
“大冰棍儿！”,RDBeverageItems.BIG_POPSICLE
大吟酿,RDBeverageItems.DAIGINJO
咖啡,RDBeverageItems.COFFEE
妖精雨露,RDBeverageItems.FAIRY_RAIN
古法奶油冰沙,RDBeverageItems.PALEO_CREAMY_SMOOTHIE
普通健身茶,RDBeverageItems.ORDINARY_FITNESS_TEA
鬼杀,RDBeverageItems.DEMON_SLAYER
气保健,RDBeverageItems.QI_HEALTH
古明地冰激凌,RDBeverageItems.KOMEIJI_ICE_CREAM
杨枝甘露,RDBeverageItems.MANGO_POMELO_SAGO
麒麟,RDBeverageItems.QILIN
天地无用,RDBeverageItems.HEAVEN_AND_EARTH_ARE_USELESS
伶人醉,RDBeverageItems.DRUNK_ACTOR
海的女儿,RDBeverageItems.DAUGHTER_OF_THE_SEA
魔界咖啡,RDBeverageItems.DEMONIC_COFFEE
莫吉托爆浆球,RDBeverageItems.MOJITO_BURST_BALL
太空啤酒,RDBeverageItems.SPACE_BEER
卫星冰咖啡,RDBeverageItems.SATELLITE_ICED_COFFEE
