Name,FieldName
物部布都,NPCRoles.MONONOBE_NO_FUTO
丰聪耳神子,NPCRoles.TOYOSATOMIMI_NO_MIKO
封兽鵺,NPCRoles.HOUJUU_NUE
二岩猯藏,NPCRoles.HUTATSUIWA_MAMIZOU
若狭姬,NPCRoles.WAKASAGIHIME
赤蛮奇,NPCRoles.SEKIBANKI
今泉影狼,NPCRoles.IMAIZUMI_KAGEROU
鬼人正邪,NPCRoles.KIJIN_SEIJIA
少名针妙丸,NPCRoles.SUKUNA_SHINMYOUMARU
堀川雷鼓,NPCRoles.HORIKAWA_RAIKO
清兰,NPCRoles.SEIRAN
铃瑚,NPCRoles.RINGO
哆来咪·苏伊特,NPCRoles.DOREMY_SWEET
稀神探女,NPCRoles.KISIN_SAGUME
克劳恩皮丝,NPCRoles.CLOWNPIECE
纯狐,NPCRoles.JUNKO
赫卡提亚·拉碧斯拉祖利,NPCRoles.HECATIA_LAPISLAZULI
爱塔妮堤·拉尔瓦,NPCRoles.ETERNITY_LARVA
坂田合欢乃,NPCRoles.SAKUTA_NEMUNO
高丽野阿吽,NPCRoles.KOMANO_AUNN
矢田寺成美,NPCRoles.YATADERA_NARUMI
丁礼田舞,NPCRoles.NISHIDA_SATONO
尔子田里乃,NPCRoles.TEIREIDA_MAI
摩多罗隐岐奈,NPCRoles.MATARA_OKINA
戎璎花,NPCRoles.EBISU_EIKA
牛崎润美,NPCRoles.USHIZAKI_URUMI
庭渡久侘歌,NPCRoles.NIWATARI_KUTAKA
吉吊八千慧,NPCRoles.KITCHO_YACHIE
杖刀偶磨弓,NPCRoles.JOUTOUGU_MAYUMI
埴安神袿姬,NPCRoles.HANIYASUSHIN_KEIKI
骊驹早鬼,NPCRoles.KUROKOMA_SAKI
豪德寺三花,NPCRoles.GOUTOKUZI_MIKE
山城高岭,NPCRoles.YAMASHIRO_TAKANE
驹草山如,NPCRoles.KOMAKUSA_SANNYO
玉造魅须丸,NPCRoles.TAMATSUKURI_MISUMARU
菅牧典,NPCRoles.KUDAMAKI_TSUKASA
饭纲丸龙,NPCRoles.IIZUNAMARU_MEGUMU
天弓千亦,NPCRoles.TENKYU_CHIMATA
姬虫百百世,NPCRoles.HIMEMUSHI_MOMOYO
孙美天,NPCRoles.SON_BITEN
三头慧乃子,NPCRoles.MITSUGASHIRA_ENOKO
天火人血枪,NPCRoles.TENKAJIN_CHIYARI
豫母都日狭美,NPCRoles.YOMOTSU_HISAMI
日白残无,NPCRoles.NIPPAKU_ZANMU
尘塚姥芽,NPCRoles.CHIRIZUKA_UBAME
封兽魑魅,NPCRoles.HOUJU_CHIMI
道神驯子,NPCRoles.MICHIGAMI_NAREKO
维缦·浅间,NPCRoles.YUIMAN_ASAMA
绵月丰姬,NPCRoles.WATATSUKI_TOYOHIME
磐永阿梨夜,NPCRoles.IWANAGA_ARIYA
渡里贝子,NPCRoles.WATARI_NINA
斯塔·萨菲雅,NPCRoles.STAR
露娜·切露德,NPCRoles.LUNAR
桑尼·米尔克,NPCRoles.SUNNY
宇佐见莲子,NPCRoles.USAMI_RENKO
玛艾露贝莉·赫恩,NPCRoles.MARIBEL_HEARN
伊吹萃香,NPCRoles.SUIKA
比那名居天子,NPCRoles.TENSHI
